Tiktok_Category,GoogleId,Taxonomy
Jerseys,3455,Bicycle Jerseys
Dusters & Duster Heads,2250,Dusters
Shower Equipment,2206,Shower Parts
Tracksuits,5878,Flight Suits
Digestion & Nausea,503734,Sugar & Sweeteners
Bralettes,214,Bras
Blasters & Toy Guns,3627,Toy Weapons & Gadgets
Tupperware & Food Preservation Utensils,6478,Food Storage Accessories
Foot Odour Control,3049,Foot Odor Removers
Drinkware Accessories,674,Drinkware
Litter Trays & Boxes,5000,Cat Litter Boxes
Coffee Machines & Accessories,3988,Coffee Maker & Espresso Machine Accessories
Hand Measuring Tools,505392,Craft Measuring & Marking Tools
Gilets,7422,Finials
Sunscreen & Sun Care,2844,Sunscreen
Nappy Bags,549,Diaper Bags
Shampoos & Conditioners,2441,Shampoo & Conditioner
Makeup Fixer Spray,6072,Makeup Finishing Sprays
Irons,5139,Irons & Ironing Systems
Security Cameras & Systems,362,Surveillance Cameras
Fridges & Freezers,686,Refrigerators
Tablet Covers & Cases,500112,"Speaker Bags, Covers & Cases"
Tanning Oils & Self Tanners,5339,Tanning Oil & Lotion
Luggage,5181,Luggage & Bags
Feeding Supplies,6,Fish Supplies
Drinking Utensils,674,Drinkware
Label Printers,952,Label Makers
Sports Leggings,3598,Sports Uniforms
Fruit & Vegetable Utensils,668,Kitchen Tools & Utensils
Bathroom Gadgets,574,Bathroom Accessories
Tents & Accessories,5655,Tent Accessories
Abayas,6602,Cherimoyas
Sheets & Pillowcases,2927,Pillowcases & Shams
Mobile Phone Parts,7347,Mobile Phone Replacement Parts
Makeup Remover,6034,Makeup Removers
Language Toys,1262,Educational Toys
Nuts & Peas,433,Nuts & Seeds
Fashion Accessory Sets,8017,Costume Accessory Sets
Power Tool Sets,4716,Power Tool Combo Sets
Sleepwear,208,Sleepwear & Loungewear
Hooks & Rails,505408,Clasps & Hooks
Lunch Bags,669,Lunch Boxes & Totes
Oil Dispensers,6526,Oil & Vinegar Dispensers
Washing Bags,5085,Laundry Wash Bags & Frames
Cooking Sauces,5794,Fruit Sauces
Hair Styling Powders,1901,Hair Styling Products
Pruning Tools,6967,Pruning Saws
Oxfords,187,Shoes
Hangers & Pegs,631,Hangers
Playgyms & Playmats,1243,Play Mats & Gyms
Body Care Kits,8452,Hair Care Kits
Polo Shirts,212,Shirts & Tops
Measuring Utensils,3475,Measuring Cups & Spoons
Vases & Fillers,6424,Vase Fillers & Table Scatters
Fitness Supplements,525,Vitamins & Supplements
Knickers,2562,Underwear
Sports Bags,1044,Golf Bags
Household Appliance Parts,3348,Household Appliance Accessories
Audio & Video Accessories,503008,Audio & Video Receiver Accessories
Dental Floss & Picks,2620,Dental Floss
Bath Mats,577,Bath Mats & Rugs
Baking Utensils,4502,Bakeware Accessories
Mattresses & Bedding,2696,Mattresses
Ab Training,499797,Ab Wheels & Rollers
Modems & Wireless Routers,5497,Wireless Routers
"Decorative Flowers, Plants & Fruit",6762,Indoor & Outdoor Plants
Sports Shorts,207,Shorts
Women's Watches,201,Watches
Lint Removers,3080,Lint Rollers
Houses,5094,Dog Houses
Binoculars & Telescopes,157,Binoculars
Cleaning & Care Fluids,2954,Antiseptics & Cleaning Supplies
Stools & Benches,505328,Music Benches & Stools
Statues & Figurines,11,Sculptures & Statues
Massage Devices,471,Massagers
Mixers,236,Audio Mixers
Shower Curtains & Rods,1962,Shower Rods
"Tissues, Napkins & Wipes",4203,Cloth Napkins
Clutches & Wristlets,505408,Clasps & Hooks
Non-Alcoholic Drinks,413,Beverages
Bum Bags & Belt Bags,326122,Saddle Bags & Panniers
Cooking Utensils,4765,Kitchen Utensil Sets
Cleaning Cloths,4911,String Instrument Cleaning Cloths
Tablet Stands & Bases,7349,Tablet Computer Parts
Flash Drives & OTG Cables,500035,Storage & Data Transfer Cables
Clutches,1185,Grips
Odour & Stain Removers,4979,Pet Odor & Stain Removers
Specialty Garden Tools,3173,Gardening Tools
Bath & Body Care,474,Bath & Body
Writing Tablets,6067,Multifunction Writing Instruments
Body Shaping Products,1578,Shapewear
Early Education & Smart Toys,1262,Educational Toys
Bum Bags & Belt Bags,326122,Saddle Bags & Panniers
Laundry Balls & Discs,5084,Laundry Balls
Skincare,567,Skin Care
Wipes & Holders,583,Toilet Brushes & Holders
Exercise Machine Accessories,4598,Cardio Machine Accessories
Semi-finished Natural Crystal,500094,Art Fixatives
Storage Bottles & Jars,6919,Travel Bottles & Containers
Carriers & Travel Supplies,6919,Travel Bottles & Containers
Photo Frames,597,Picture Frames
Aeroplanes & Helicopters,3395,Aircraft
Pull Up Bars,8215,Push Up & Pull Up Bars
Camping Kitchenware,1016,Camping Cookware & Dinnerware
Seasoning Utensils,668,Kitchen Tools & Utensils
Barbecue Utensils,4765,Kitchen Utensil Sets
Sleeping Bags & Bedding,1020,Sleeping Bags
Essential Oils for Aromatherapy,5664,Massage Oil
Science & Technology Toys,1262,Educational Toys
Sofa Covers,460,Sofas
Blemish Balm and Colour Control,2619,Cosmetic Tools
Glasses,524,Eyeglasses
Eye Treatments,1380,Vision Care
Acne Treatments,481,Acne Treatments & Kits
Nail Art & Nail Polish,5975,Nail Art Kits & Accessories
Trousers,204,Pants
Hoodies & Jumpers,5250,Jumpsuits & Rompers
Jeans,204,Pants
Household Cleaners,4973,Household Cleaning Products
"Carpets, Mats & Rugs",2826,Flooring & Carpet
Teeth Whitening,3019,Teeth Whiteners
T-Shirts,212,Shirts & Tops
Frames & Glasses,524,Eyeglasses
Facial Massage Creams,2526,Facial Cleansers
Body Wash & Soap,2747,Body Wash
"Cables, Chargers & Adapters",505295,Power Adapters & Chargers
Facial Sunscreen & Sun Care,2844,Sunscreen
Hoodies & Jumpers,5250,Jumpsuits & Rompers
Deodorants & Antiperspirants,484,Deodorant & Anti-Perspirant
Bracelets & Bangles,191,Bracelets
Rice & Pressure Cookers,757,Rice Cookers
Instant Hotpot,4722,Airpots
USB Hubs & Card Readers,505801,Electronic Card Readers
"Pads, Cushions & Covers",4453,Chair & Sofa Cushions
GPS Trackers,6544,GPS Tracking Devices
Flats,204,Pants
Garden Cleaning Tools,3173,Gardening Tools
Mounts & Holders,8298,Vehicle License Plate Mounts & Holders
VR Devices,543627,Headsets
Electrical Sockets & Accessories,1869,Power Outlets & Sockets
Tablets,4745,Tablet Computers
Barbecues,2985,Outdoor Grills
Football,1111,Soccer
Aerobics,499792,Cardio
Sports Gloves,3141,Soccer Gloves
Formula & Milk Storage & Organisation,7234,Breast Milk Storage Containers
Baby Walkers,1241,Baby Walkers & Entertainers
Skipping Ropes,2614,Jump Ropes
Sleep Masks,4313,Eye Masks
Hand & Foot Masks,5194,Masks
Cooking Pastes & Seasoning Kits,4608,Seasonings & Spices
Plant Care Tools,3173,Gardening Tools
Vehicle Decorations,2495,Vehicle Decor
"Baby Bottle Warmers, Coolers & Sterilisers",5296,Bottle Warmers & Sterilizers
Fans & Heatsinks,295,Computer System Cooling Parts
Razors,534,Razors & Razor Blades
Meat & Poultry Utensils,668,Kitchen Tools & Utensils
Hanging Decor,7197,Hanging Chairs
Phone Batteries,1745,Mobile Phone Batteries
Knitwear,203,Outerwear
Resistance Bands,5869,Exercise Bands
Makeup Vanities,4148,Vanities
Maternity Clothing & Accessories,5422,Baby & Toddler Clothing Accessories
Smart Watches,201,Watches
Electric Grills,7165,Electric Griddles & Grills
Washing Machines & Dryers,2549,Washing Machines
Mary Jane Shoes,187,Shoes
Baby Bottles & Accessories,564,Baby Bottles
"Moth, Mould & Damp Proofing",728,Pest Control
Water Coolers & Dispensers,3293,Water Coolers
Synthetic Costume Wigs,181,Wigs
Storage Baskets,573,Baskets
Baby Skincare,567,Skin Care
"Eczema, Psoriasis and Rosacea Care",567,Skin Care
Bottoms,5400,Wetsuit Bottoms
Padlocks & Hasps,503730,Locks & Latches
Ride-on Toys,2799,Riding Toys
Writing & Correction Tools,543620,Correction Pens
Laptop Bags,328,Laptops
Rashguards,3376,Rash Guards & Swim Shirts
Hand Tool Accessories,3650,Tool Accessories
Nappies,551,Diapers
Body Jewellery,190,Body Jewelry
Face Covering Masks & Accessories,8269,Gas Mask & Respirator Accessories
Electric Screwdrivers,1203,Screwdrivers
Family Planning Tests,543680,Ovulation Tests
Novelty & Gag Toys,3627,Toy Weapons & Gadgets
Aquariums & Tanks,3238,Aquariums
Digital & Smart Pens,5309,Digital Note Taking Pens
Video Surveillance,362,Surveillance Cameras
Seaweed,6629,Kale
Toy Tablets & Computers,3079,Toy Drawing Tablets
Rubbish Bags,2374,Garbage Bags
Maths Toys,1262,Educational Toys
Chocolate & Malted Drinks,4748,Candy & Chocolate
Kitchen Taps,1817,Beer Dispensers & Taps
Scratching Pads & Posts,6846,Pet Training Pads
Mosquito Nets,3538,Mosquito Nets & Insect Screens
Bar Utensils,649,Barware
Scooters & Ride-ons,919,Motorcycles & Scooters
"Herbs, Spices & Seasonings",1529,Herbs & Spices
Glasses Cases & Accessories,5507,Eyewear Cases & Holders
Security Alarms,3873,Home Alarm Systems
Nasal Cleaning,5253,Nasal Aspirators
Workwear & Uniforms,2306,Uniforms
Sports Water Bottles,3809,Water Bottles
Powdered Drink Mixes,6848,Powdered Beverage Mixes
Cleaning & Care,2915,Personal Care
Oral Spray,6189,Breath Spray
Chair Covers,6521,Chair Mats
Chopping Boards,666,Cutting Boards
Desk Organisers & Accessories,939,Desk Organizers
Food Processors,292,Computer Processors
Sanitary Towels,4077,Towels
Man-Made Crystal Decorations,505386,Craft Decoration Makers
Sports T-Shirts,3598,Sports Uniforms
Multitools & Accessories,3650,Tool Accessories
Electric Eyebrow Shapers,2686,Eyebrow Enhancers
Hand Wash,3208,Liquid Hand Soap
Heaters,611,Space Heaters
Food Processors,292,Computer Processors
Smart Home Controls,2413,Home Automation Kits
Hair Removal Products,4507,Hair Removal
Grooming Scissors,3037,Cuticle Scissors
"Water Filters, Purifiers & Storage",1023,Portable Water Filters & Purifiers
Concealer & Foundation,2765,Foundations & Concealers
Face Scrubs & Peels,6262,Skin Care Masks & Peels
Wellness Supplements,525,Vitamins & Supplements
Crossbody & Shoulder Bags,5181,Luggage & Bags
Vacuum Cleaners & Sweeping Robots,619,Vacuums
Tea,1868,Coffee
Power Banks,5533,Power Converters
Trainers,3868,Bicycle Trainers
